X	Y	D	C
145.015	134.578	233.655	1
152.482	190.243	14.478	1
147.962	151.787	14.4284	1
148.072	131.115	14.4237	1
110.049	125.284	14.4138	1
144.732	139.973	14.3401	1
153.821	177.23	14.3331	1
154.147	219.497	14.3269	1
106.309	178.737	14.1634	1
128.31	125.955	14.0191	1
124.629	199.469	14.0173	1
127.129	143.98	13.9492	1
155.047	200.176	13.9479	1
117.292	182.728	13.9435	1
141.87	222.533	13.9225	1
149.733	114.522	13.8642	1
135.206	128.712	13.8555	1
153.152	215.237	13.8491	1
88.2954	162.032	13.8048	1
144.053	136.158	13.7629	1
154.703	139.585	13.7204	1
153.545	131.011	13.7167	1
141.147	139.675	13.6415	1
137.964	118.525	13.614	1
143.424	104.899	13.5429	1
115.907	222.434	13.5175	1
144.802	161.195	13.4849	1
134.433	121.646	13.4461	1
135.224	128.777	13.4345	1
127.012	166.647	13.4092	1
135.192	131.225	13.3513	1
144.842	161.393	13.2636	1
139.978	195.772	13.2181	1
137.813	119.407	13.1882	1
120.913	129.401	13.1824	1
124.07	156.026	13.1209	1
138.869	143.738	13.1024	1
128.26	125.792	13.0969	1
155.749	217.947	13.0952	1
138.005	133.133	13.0848	1
135.839	122.055	13.0598	1
152.866	214.428	13.0303	1
154.048	176.928	13.0255	1
149.984	226.109	12.9935	1
136.507	122.444	12.9465	1
138.823	143.498	12.9348	1
127.549	164.553	12.8954	1
152.658	201.438	12.7465	1
139.808	138.587	12.6672	1
127.041	143.715	12.5775	1
137.443	186.506	12.5425	1
127.089	166.488	12.5162	1
122.993	116.291	12.4192	1
111.036	170.654	12.407	1
147.318	134.538	12.3328	1
113.462	163.891	12.3119	1
109.268	134.695	12.3102	1
145.481	140.077	12.3064	1
138.954	143.851	12.1791	1
135.601	132.076	11.8946	1
148.666	140.969	11.6947	1
145.507	140.319	11.5527	1
147.553	193.793	11.4529	1
139.95	195.908	11.4159	1
131.062	140.212	11.2064	1
124.142	138.566	10.9229	1
115.358	121.899	10.7907	1
137.412	186.175	10.7533	1
150.305	229.427	10.5128	1
135.868	122.092	9.98595	1
127.661	216.056	9.59472	1
142.167	132.536	8.93793	1
136.188	126.277	7.10863	1
